title,year
Tale of Tales,1979
"Oh, Beautiful Istanbul",1966
Nobody's Business,1996
The Amazing Catfish,2013
Welcome to Chechnya,2020
"20,000 Species of Bees",2023
Silence Is a Falling Body,2017
Kill Bill: Vol. 1,2003
Sick of Myself,2022
Memento,2000
Pan's Labyrinth,2006
The Dreamers,2003
Eraserhead,1977
Trainspotting,1996
The Dark Knight,2008
Seven,1995
The Silence of the Lambs,1991
WALL•E,2008
Swallow,2019
Certified Copy,2010
Moonrise Kingdom,2012
Up,2009
The Pianist,2002
Let the Right One In,2008
Masculin Féminin,1966
The Skin I Live In,2011
Hidden,2005
Midsommar,2019
L.A. Confidential,1997
Toy Story,1995
The Grand Budapest Hotel,2014
Force Majeure,2014
Un chien andalou,1929
Suspiria,1977
Before Sunrise,1995
One Fine Morning,2022
Blow-Up,1966
The House That Jack Built,2018
Contempt,1963
Life of Brian,1979
Asparagus,1979
Sometimes I Think About Dying,2023
Holy Motors,2012
The Thin Red Line,1998
Fish Tank,2009
Harold and Maude,1971
Mystery Train,1989
Repulsion,1965
Toy Story 3,2010
Triangle of Sadness,2022
Band of Outsiders,1964
Unforgiven,1992
Rope,1948
Tavern Man,2012
Ava,2017
I Hired a Contract Killer,1990
Love in the Afternoon,1972
Full Moon in Paris,1984
The Party,2017
A Streetcar Named Desire,1951
Live Flesh,1997
Hold Me Tight,2021
The Triplets of Belleville,2003
Europa,1991
The Wonders,2014
Fractured,2020
Lovers of the Arctic Circle,1998
Rebecca,1940
The Searchers,1956
The American Friend,1977
Mid90s,2018
Freaks,1932
In the Fade,2017
Strangers on a Train,1951
The Big Sleep,1946
The Phantom of Liberty,1974
Poor Things,2023
The Other Side of Hope,2017
"The Cook, the Thief, His Wife & Her Lover",1989
His Girl Friday,1940
The Wild Bunch,1969
For a Few Dollars More,1965
Compartment No. 6,2021
The Farewell,2019
Watchtower,2012
Saint Omer,2022
The Scent of Green Papaya,1993
The Criminals,2020
Bringing Up Baby,1938
"Lust, Caution",2007
Betty Blue,1986
Cure,1997
Black Narcissus,1947
Whores' Glory,2011
It Happened One Night,1934
My King,2015
The Enigma of Kaspar Hauser,1974
Walkabout,1971
Boro in the Box,2011
Hour of the Wolf,1968
Vera Drake,2004
Four Adventures of Reinette and Mirabelle,1987
Hungry Hearts,2014
The Salesman,2016
Murmur of the Heart,1971
F for Fake,1973
Purple Noon,1960
Akira Kurosawa's Dreams,1990
The Nun,1966
Joint Security Area,2000
Mother Joan of the Angels,1961
Nashville,1975
Fantasia,1940
The So-called Caryatids,1984
The Grapes of Wrath,1940
Joy Street,1995
The Marriage of Maria Braun,1979
Alice,1988
A Colony,2018
All That Heaven Allows,1955
McCabe & Mrs. Miller,1971
Ulysse,1983
Scarlet Street,1945
Das Boot,1981
Le Corbeau,1943
Kagemusha,1980
La antena,2007
Millennium Actress,2001
Invisible to the Eye,2020
10 to 11,2009
The Orphan,2018
After Life,1998
Moments Like This Never Last,2020
Three Cheers for the Whale,1972
Johnny Guitar,1954
Maurice,1987
Out of the Past,1947
The Devil and Daniel Johnston ,2005
The Thin Blue Line,1988
Le quattro volte,2010
Marina Abramović: The Artist is Present,2012
Stromboli,1950
Damnation,1988
"Léon Morin, Priest",1961
A Ciambra,2017
The Banishment,2007
Motherland Hotel,1987
Tampopo,1985
Wake in Fright,1971
